title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Stand by Me,rb,Ben E. King,1960,1590384,{},"[Intro]

[Verse 1]
When the night has come
And the land is dark
And the moon is the only light we'll see
No, I won't be afraid
Oh, I won't be afraid
Just as long as you stand, stand by me

[Chorus]
So darlin', darlin', stand by me
Oh, stand by me
Oh, stand
Stand by me, stand by me

[Verse 2]
If the sky that we look upon
Should tumble and fall
Or the mountains should crumble to the sea
I won't cry, I won't cry
No, I won't shed a tear
Just as long as you stand, stand by me
[Chorus]
And darlin', darlin', stand by me
Oh, stand by me
Whoa, stand now
Stand by me, stand by me

[Interlude]

[Chorus]
Darlin', darlin', stand by me
Oh, stand by me
Oh, stand now
Stand by me, stand by me

Whenever you're in trouble, won't you stand by me?
Oh, stand by me
Whoa, just stand now
Oh, stand, stand by me",72156,en,en,en
Georgia On My Mind,rock,Ray Charles,1960,188333,{},"[Verse 1]
Georgia
Georgia
The whole day through
(The whole day through)
Just an old, sweet song
Keeps Georgia on my mind
(Georgia on my mind)

[Verse 2]
I said a-Georgia
Georgia
A song of you
(A song of you)
Comes as sweet and clear
As moonlight through the pines

[Refrain]
Other arms a-reach out to me
Other eyes smile tenderly
Still, in the peaceful dreams, I see
The road leads back to you
[Verse 3]
I said, Georgia, oh, Georgia
No peace I find (No peace I find)
Just an old, sweet song
Keeps Georgia on my mind
(Georgia on my mind, oh)

[Refrain]
Other arms a-reach out to me
Other eyes smile tenderly
Still, in peaceful dreams, I see
The road leads back to you

[Verse 4]
Oh, oh
Georgia
Georgia
No peace, no peace I find
Just an old, sweet song
Keeps Georgia on my mind
(Georgia on my mind)

[Outro]
I said, just an old, sweet song
Keeps Georgia on my mind",432192,en,en,en
At Last,rb,Etta James,1960,176380,{},"[Intro]

[Chorus]
At last
My love has come along
My lonely days are over
And life is like a song
(Oh, yeah, yeah)

[Chorus]
At last
The skies above are blue
My heart was wrapped up in clover
The night I looked at you

[Bridge]
I found a dream that I could speak to
A dream that I can call my own
I found a thrill to press my cheek to
A thrill that I've never known (Oh, yeah, yeah)
[Chorus]
You smiled, you smiled
Oh and then the spell was cast
And here we are in Heaven
For you are mine at last

[Outro]",63921,en,en,en
Wonderful World,pop,Sam Cooke,1960,85354,{},"[Verse 1]
Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

[Chorus 1]
But I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

[Verse 2]
Don't know much about geography
Don't know much trigonometry
Don't know much about algebra
Don't know what a slide rule is for

[Chorus 2]
But I do know one and one is two
And if this one could be with you
What a wonderful world this would be
[Bridge]
Now, I don't claim to be an A student
But I'm trying to be
For maybe by being an A student, baby
I can win your love for me

[Verse 1]
Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

[Chorus 1]
But I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

[Verse 3]
La ta ta ta ta ta ta (History)
Hmm-mm-mm (Biology)
Whoa, la ta ta ta ta ta ta (Science book)
Hmm-mm-mm (French I took)

[Chorus 1]
Yeah, but I do know that I love you
And I know that if you love me, too
What a wonderful world this would be",218788,en,en,en
Are You Lonesome Tonight?,pop,Elvis Presley,1960,72279,{},"[Verse 1]
Are you lonesome tonight? Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray to a brighter summer day
When I kissed you and called you sweetheart?

[Verse 2]
Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain? Shall I come back again?
Tell me, dear, are you lonesome tonight?

[Spoken]
I wonder if you are lonesome tonight
You know someone said that the world's a stage and each must play a part
Fate had me playing in love with you as my sweetheart
Act one was where we met
I loved you at first glance
You read your lines so cleverly and never missed a cue
Then came act two
You seemed to change, you acted strange
And why, I've never known
Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than to go on living without you
Now the stage is bare and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down
[Outro]
Is your heart filled with pain? Shall I come back again?
Tell me, dear, are you lonesome tonight?",197277,en,en,en
Will You Still Love Me Tomorrow,pop,The Shirelles,1960,69478,{},"[Verse 1]
Tonight you're mine completely
You give your love so sweetly
Tonight the light of love is in your eyes
But will you love me tomorrow?

[Verse 2]
Is this a lasting treasure
Or just a moment's pleasure?
Can I believe the magic of your sighs?
Will you still love me tomorrow?

[Bridge]
Tonight with words unspoken
You say that I'm the only one
But will my heart be broken
When the night (When the night)
Meets the morning (Meets the morning) sun?

[Verse 3]
I'd like to know that your love
Is love I can be sure of
So tell me now, and I won't ask again
Will you still love me tomorrow?
[Outro]
So tell me now, and I won't ask again
Will you still love me tomorrow?
Will you still love me tomorrow?
Will you still love me—",888604,en,en,en
As Long As He Needs Me,pop,Lionel Bart,1960,54426,{},"As long as he needs me
Oh, yes, he does need me
In spite of what you see
I'm sure that he needs me

Who else would love him still
When they've been used so ill
He knows I always will
As long as he needs me

I miss him so much when he is gone
But when he's near me
I don't let on

The way I feel inside
The love I have to hide
The Hell! I've got my pride
As long as he needs me

He doesn't say the things he should
He acts the way he thinks she should
But, all the same
I'll play this game his way
As long as he needs me
I know where I must be
I'll cling on steadfastly
As long as he needs me

As long as life is long
I'll love him, right or wrong
And, somehow, I'll be strong
As long as he needs me

If you are lonely, then you will know
When someone needs you, you love them so

I won't betray his trust
Though people say I must
I've got to stay true, just
As long as he needs me",2329818,en,en,en
Donna Donna,rock,Joan Baez,1960,50508,{},"[Intro]
On a wagon bound for market
There's a calf with a mournful eye
High above him, there's a swallow
Winging swiftly through the sky

[Chorus]
How the winds are laughing
They laugh with all their might
Laugh and laugh the whole day through
And half the summer's night
Donna, Donna, Donna, Donna
Donna, Donna, Donna, Don
Donna, Donna, Donna, Donna
Donna, Donna, Donna, Don

""Stop complaining!"" said the farmer
""Who told you a calf to be?
Why don't you have wings to fly with
Like the swallow so proud and free?""
[Chorus]
How the winds are laughing
They laugh with all their might
Laugh and laugh the whole day through
And half the summer's night
Donna, Donna, Donna, Donna
Donna, Donna, Donna, Don
Donna, Donna, Donna, Donna
Donna, Donna, Donna, Don

[Verse]
Calves are easily bound and slaughtered
Never knowing the reason why
But whoever treasures freedom
Like the swallow has learned to fly

[Outro]
How the winds are laughing
They laugh with all their might
Laugh and laugh the whole day through
And half the summer's night
Donna, Donna, Donna, Donna
Donna, Donna, Donna, Don
Donna, Donna, Donna, Donna
Donna, Donna, Donna, Don",219486,en,en,en
Aint That a Kick in the Head,pop,Dean Martin,1960,50033,{},"[Verse 1]
How lucky can one guy be
I kissed her and she kissed me
Like the fella once said, ""Ain't that a kick in the head?""

[Verse 2]
The room was completely black
I hugged her and she hugged back
Like the sailor said, quote, ""Ain't that a hole in the boat""

[Chorus]
My head keeps spinning
I go to sleep and keep grinning
If this is just the beginning
My life is gonna be beautiful

[Verse 3]
I've sunshine enough to spread
It's just like the fella said
Tell me quick ain't love like a kick in the head?
[Bridge]
Like the fella once said, “Ain't love like a kick in the head?”
Like the sailor said, quote, ""Ain't that a hole in the boat?""

[Chorus]
My head keeps spinning
I go to sleep and keep grinning
If this is just the beginning
My life is gonna be beautiful

[Outro]
She's telling me we'll be wed
She's picked out a king size bed
I couldn't feel any better or I'd be sick
Tell me quick, oh, ain't love a kick?
Tell me quick, ain't love a kick in the head?",513427,en,en,en
Misty,pop,Ella Fitzgerald,1960,49197,{},"Look at me, I'm as helpless as a kitten up a tree;
And I feel like I'm clingin' to a cloud
I can't understand
I get misty, just holding your hand
Walk my way
And a thousand violins begin to play
Or it might be the sound of your hello
That music I hear
I get misty, the moment you're near
Can't you see that you're leading me on?
And it's just what I want you to do
Don't you notice how hopelessly I'm lost
That's why I'm following you
On my own
Would I wander through this wonderland alone
Never knowing my right foot from my left
My hat from my glove
I'm too misty, and too much in love
Too misty
And too much
In love",1013614,en,en,en
